person_age,person_home_ownership,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
22,1.0,123.0,35000,16.02,1,0.59,1,3
21,3.0,5.0,1000,11.14,0,0.1,0,2
25,2.0,1.0,5500,12.87,1,0.57,0,3
23,1.0,4.0,35000,15.23,1,0.53,0,2
24,1.0,8.0,35000,14.27,1,0.55,1,4
21,3.0,2.0,2500,7.14,1,0.25,0,2
26,1.0,8.0,35000,12.42,1,0.45,0,3
24,1.0,5.0,35000,11.11,1,0.44,0,4
24,1.0,8.0,35000,8.9,1,0.42,0,2
21,3.0,6.0,1600,14.74,1,0.16,0,3
22,1.0,6.0,35000,10.37,1,0.41,0,4
21,3.0,2.0,4500,8.63,1,0.45,0,2
23,1.0,2.0,35000,7.9,1,0.37,0,2
26,1.0,4.0,35000,18.39,1,0.32,0,4
23,1.0,2.0,35000,7.9,0,0.3,0,4
23,1.0,0.0,35000,7.9,0,0.29,0,4
23,1.0,7.0,35000,20.25,1,0.32,0,4
23,1.0,8.0,35000,18.25,1,0.31,0,4
24,2.0,8.0,1750,10.99,1,0.16,0,2
25,1.0,2.0,35000,7.49,0,0.22,0,4
25,1.0,9.0,34800,16.77,0,0.25,1,2
22,1.0,4.0,34000,17.58,1,0.52,0,4
24,3.0,0.0,1500,7.29,0,0.14,0,3
22,1.0,3.0,33950,14.54,1,0.42,1,4
24,1.0,8.0,33000,12.68,1,0.49,0,3
21,2.0,3.0,4575,17.74,1,0.42,1,3
23,3.0,0.0,1400,9.32,0,0.13,0,3
24,1.0,6.0,32500,9.99,1,0.5,0,3
21,3.0,5.0,2000,11.12,1,0.17,0,3
25,1.0,2.0,32000,6.62,0,0.27,0,2
26,1.0,7.0,31050,14.17,1,0.33,1,3
25,1.0,2.0,24250,13.85,0,0.08,0,3
26,2.0,10.0,7800,13.49,0,0.03,0,4
21,3.0,5.0,2500,7.51,1,0.21,0,4
22,1.0,1.0,30000,18.39,1,0.63,0,2
24,1.0,8.0,30000,14.54,1,0.47,1,3
25,1.0,4.0,30000,16.89,1,0.4,1,4
26,1.0,6.0,30000,17.99,1,0.41,0,2
24,3.0,4.0,2500,12.69,1,0.21,0,3
26,2.0,10.0,20000,7.88,0,0.07,0,4
23,3.0,1.0,24250,19.41,0,0.08,1,2
26,3.0,9.0,10000,10.38,0,0.03,0,4
26,2.0,0.0,25000,15.33,0,0.08,0,3
25,2.0,9.0,18000,16.45,0,0.06,0,3
26,1.0,8.0,30000,7.49,1,0.37,0,3
22,1.0,4.0,30000,12.69,1,0.38,0,3
26,1.0,0.0,30000,6.62,1,0.34,0,3
23,1.0,7.0,30000,18.62,1,0.38,1,3
23,1.0,6.0,30000,15.23,1,0.33,1,3
23,1.0,7.0,30000,10.65,1,0.31,0,2
25,1.0,9.0,30000,7.9,0,0.25,0,4
26,1.0,4.0,10000,15.96,0,0.04,1,3
26,1.0,0.0,20000,11.48,0,0.07,0,3
25,1.0,9.0,30000,7.29,0,0.23,0,4
21,1.0,0.0,30000,5.99,0,0.23,0,4
22,3.0,6.0,12000,11.58,0,0.04,0,2
25,2.0,9.0,25000,15.7,1,0.1,0,2
22,1.0,6.0,29100,15.99,1,0.42,0,3
22,2.0,7.0,1500,14.84,0,0.13,1,3
26,3.0,10.0,28000,10.99,0,0.11,0,3
25,2.0,9.0,20000,14.42,0,0.08,1,2
24,2.0,9.0,9600,6.99,0,0.04,0,2
25,1.0,2.0,25000,13.49,0,0.1,0,4
21,3.0,6.0,3000,13.61,1,0.25,1,3
23,1.0,2.0,28000,7.9,1,0.43,0,2
26,1.0,2.0,28000,7.49,1,0.33,0,3
26,3.0,2.0,6100,7.51,1,0.51,0,3
22,1.0,6.0,28000,9.91,1,0.32,0,3
21,3.0,0.0,4200,13.48,1,0.35,1,4
22,3.0,6.0,4750,7.14,1,0.4,0,2
24,1.0,0.0,28000,15.99,1,0.34,1,4
24,1.0,2.0,18000,12.98,0,0.07,1,3
144,1.0,4.0,4800,13.57,0,0.02,0,3
25,1.0,5.0,28000,12.69,0,0.28,0,3
26,1.0,10.0,28000,8.9,0,0.25,0,2
23,1.0,7.0,28000,11.11,0,0.19,0,2
21,2.0,5.0,3250,15.68,1,0.27,1,3
22,1.0,4.0,27500,13.06,1,0.39,1,3
26,1.0,5.0,27050,15.62,1,0.37,1,2
24,1.0,5.0,27000,13.49,1,0.33,1,2
23,1.0,7.0,26000,11.71,1,0.42,0,2
23,1.0,1.0,25600,12.69,0,0.21,0,3
